Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Erick,López,Ovando,Doctor,En Ingeniería Informática,"Modelamiento de Datos Dependientes, Estadística Computacional, Machine Learning",Másculino,Chile,Valparaíso,Chile,Universidad Técnica Federico Santa María,Pontificia Universidad Católica de Valparaíso,,http://www.estadistica.cl/elopez,,,,,,,,
Felipe,Ruz,Ángel,Doctor,En Ciencias de la Educación,"Educación Estadística, Estadísticas Cívicas/Cultura Estadística, Estadísticas aplicadas a la Educación",Másculino,Chile,Valparaíso,Chile,Universidad de Granada,Pontificia Universidad Católica de Valparaíso,,http://www.estadistica.cl/fruz,,,,,,,,
Carlos,Erazo,Jojot,,,,Másculino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Miguel,Fernández,Pizarro,,,,Másculino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Agustín,Gagliardi,Castro,,,,Másculino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Jorge,Galbiati,Riesco,,,,Másculino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Paula,Guerrero,Russell,,,,Femenino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Mario,Guzmán,Briones,,,,Másculino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Nicole,Hidalgo,Thomas,,,,Femenino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
Jasmín,Oyanadel,Guerra,,,,Femenino,Chile,Valparaíso,Chile,,Pontificia Universidad Católica de Valparaíso,,,,,,,,,,
María Paz,Casanova,Laudien,Doctora,En Estadística,,Femenino,Chile,Concepción,Chile,Pontificia Universidad Católica de Chile,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200800127223,,,,,,,,
Guillermo,Ferreira,Cabezas,Doctor,En Estadística,Modelización de series temporales y datos econométricos financieros,Másculino,Chile,Concepción,Chile,Universidad Católica de la Santísima Concepción ,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200600004287,,,,,,,,
Jorge,Figueroa,Zúñiga,Doctor,En Estadística,"Modelado Estadístico, Análisis estadístico, Análisis de los datos, Análisis de regresión Inferencia estadística, Regresión lineal, Regresión logística Modelado de regresión, Series de tiempo ",Másculino,Chile,Concepción,Chile,Pontificia Universidad Católica de Chile,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/201000062033,,,,,,,,
Bernardo,Lagos,Álvarez,Doctor,En Ciencias,"Estadística, Teoría de la probabilidad, Matemáticas aplicadas",Másculino,Chile,Concepción,Chile,Universidad de São Paulo,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200800127306,,,,,,,,
Joel,Muñoz,Gutiérrez,Doctor,,"Bioestadística, Bioinformática",Másculino,Chile,Concepción,Chile,Universidad de Barcelona,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200600041630,,,,,,,,
Sebastián,Niklitschek,Soto,Maestro,,"Probabilidad Aplicada, Ecuaciones diferenciales estocásticas, Probabilidad, Procesos estocásticos, Modelado estocástico, Análisis estocástico, Análisis de los datos",Másculino,Chile,Concepción,Chile,Universidad de París VI,Universidad de Concepción,https://www.researchgate.net/profile/Sebastian-Niklitschek-Soto,https://postgrado.udec.cl/programas/academico/200600049634,,,,,,,,
Francisco,Pradenas,Parra,Maestro,En Estadística,,Másculino,Chile,Concepción,Chile,Universidad de Concepción,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200800127804,,,,,,,,
Luisa,Rivas,Calabrán,Doctora,En Estadística,Análisis de regresión,Femenino,Chile,Concepción,Chile,Pontificia Universidad Católica de Chile,Universidad de Concepción,https://www.researchgate.net/profile/Luisa-Rivas-Calabran,https://postgrado.udec.cl/programas/academico/200600048992,,,,,,,,
Katia,Sáez,Carrillo,Doctora,En Ingeniería Eléctrica,"Cambio Global, sociedad y agua, Biodiversidad, Servicios Ecosistémicos, Contaminación, Tecnología y remediación del agua",Femenino,Chile,Concepción,Chile,Pontificia Universidad Católica de Río de Janeiro,Universidad de Concepción,http://doctoradocienciasambientales.udec.cl/member/katia-saez-carrillo/,https://postgrado.udec.cl/programas/academico/200800128419,,,,,,,,
Patricio,Salas,Fernández,Maestro,En Estadística Aplicada,,Másculino,Chile,Concepción,Chile,Universidad de Concepción,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/200700082764,,,,,,,,
Nora,Serdyukova,,Doctora,Rerum Naturalium,,Femenino,Chile,Concepción,Chile,Universidad Humboldt de Berlín ,Universidad de Concepción,,https://postgrado.udec.cl/programas/academico/201300017280,,,,,,,,
Jonathan Daniel,Acosta,Salazar,Doctor,En Matemáticas,"Modelamiento de Datos Dependientes, Estadística Computacional y Extracción de conocimiento desde bases de datos no estructuradas, Modelación Estadística para Aplicaciones Multidisciplinarias.",Másculino,Chile,Santiago,Chile,Universidad Técnica Federico Santa María,Pontificia Universidad Católica de Chile,,https://www.mat.uc.cl/personas/perfil/jonathan.acosta,,,,,,,,
Ana María,Araneda,Levy,Doctora,En Estadística,,Femenino,Chile,Santiago,Chile,Universidad de Carnegie mellon,Pontificia Universidad Católica de Chile,https://investigadores.anid.cl/es/public_search/researcher?id=23454,https://www.mat.uc.cl/personas/perfil/aaraneda,,,,,,,,
Ricardo ,Aravena,Cuevas,Maestro,En Estadística,,Másculino,Chile,Santiago,Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,http://www.mat.puc.cl/~ricardo.aravena,https://www.mat.uc.cl/personas/perfil/ricardo.aravena,,,,,,,,
Reinaldo Boris,Arellano,Valle,Doctor,En Estadística,"Teoría y aplicaciones de modelos asimétricos flexibles, Teoría e inferencia en modelos de regresión no estándar",Másculino,Chile,Santiago,Chile,Universidad de São Paulo,Pontificia Universidad Católica de Chile,https://scholar.google.com/citations?user=o5LA93AAAAAJ&hl=es,https://www.mat.uc.cl/personas/perfil/reivalle,,,,,,,,
Isabelle,Beaudry,,Doctora,En Matemáticas,"Metodología de muestreo de encuestas, Análisis estadístico de redes",Femenino,Chile,Santiago,Chile,Universidad de Massachusetts Amherst,Pontificia Universidad Católica de Chile,,https://www.mat.uc.cl/personas/perfil/isabelle.beaudry,,,,,,,,
Luis Mauricio,Castro,Cepero,Doctor,En Estadística,"Distribuciones asimétricas y de colas pesadas, Datos longitudinales complejos, Problemas de identificación",Másculino,Chile,Santiago,Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,https://dina.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=54171,https://www.mat.uc.cl/personas/perfil/mcastro,,,,,,,,
Manuel,Galea,Rojas,Doctor,En Estadística,"Inferencia y diagnósticos de influencia en modelos con errores de medición, bajo distribuciones elípticas",Másculino,Chile,Santiago,Chile,Universidad de São Paulo,Pontificia Universidad Católica de Chile,https://scholar.google.com/citations?user=lPV3RxgAAAAJ&hl=es,https://www.mat.uc.cl/personas/perfil/mgalea,,,,,,,,
Maria Jose,Garcia,Zattera,Doctora,En Ciencias,"Estadística, Análisis de Datos, Análisis Estadístico, R Paquete Estadístico, Procesamiento de Datos e Informática",Femenino,Chile,Santiago,Chile,Universidad Católica de Lovaina,Pontificia Universidad Católica de Chile,https://www.researchgate.net/profile/Maria-Jose-Garcia-Zattera,https://www.mat.uc.cl/personas/perfil/mjgarcia,,,,,,,,
Jorge Andrés,González,Burgos,Doctor,En Ciencias,"Psicometría, Medición Educacional",Másculino,Chile,Santiago,Chile,Universidad Católica de Lovaina,Pontificia Universidad Católica de Chile,https://scholar.google.com/citations?user=L20VnZAAAAAJ&hl=es,https://www.mat.uc.cl/personas/perfil/jorge.gonzalez,,,,,,,,
Luis,Gutiérrez,Inostroza,Doctor,En Estadística,Estadística Bayesiana,Másculino,Chile,Santiago,Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,https://scholar.google.com/citations?user=zoRwYSEAAAAJ&hl=es,https://www.mat.uc.cl/personas/perfil/llgutier,,,,,,,,
Alejandro Antonio,Jara,Vallejos,Doctor,En Ciencias,"Estadística Bayesiana noparamétrica, Modelos jerárquicos",Másculino,Chile,Santiago,Chile,Universidad Católica de Lovaina,Pontificia Universidad Católica de Chile,https://investigadores.anid.cl/es/public_search/researcher?id=7646,https://www.mat.uc.cl/personas/perfil/ajara,,,,,,,,
Guillermo,Marshall,Rivera,Doctor,En Bioestadística,"Bioestadística , Datos longitudinales",Másculino,Chile,Santiago,Chile,Universidad de Colorado,Pontificia Universidad Católica de Chile,https://investigadores.anid.cl/es/public_search/researcher?id=40003,https://www.mat.uc.cl/personas/perfil/gm,,,,,,,,
Ricardo Alonso,Olea,Ortega,Doctor,En Estadística,Modelos predictivos de series de tiempo no estacionarias,Másculino,Chile,Santiago,Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,https://investigadores.anid.cl/es/public_search/researcher?id=10812,https://www.mat.uc.cl/personas/perfil/raolea,,,,,,,,
Fernando Andrés,Quintana,Quintana,Doctor,En Estadística,"Métodos Bayesianos paramétricos, Modelos de particiones aleatorias",Másculino,Chile,Santiago,Chile,Universidad de Wisconsin-Madison,Pontificia Universidad Católica de Chile,https://scholar.google.com/citations?user=l5ExQ6wAAAAJ&hl=es,https://www.mat.uc.cl/personas/perfil/quintana,,,,,,,,
Luiz,Pedro,Ramos,Doctor,En Estadística,"Análisis de supervivencia, inferencia bayesiana, inferencia clásica, control de calidad y fiabilidad",Másculino,Chile,Santiago,Chile,Universidad de São Paulo,Pontificia Universidad Católica de Chile,https://www.pedroluizramos.com/,https://www.mat.uc.cl/personas/perfil/pedro.ramos,,,,,,,,
Ernesto Javier,Gutiérrez,San Martín,Doctor,En Ciencias,"Efectividad y mejora escolar, Política Educativa, Causalidad en Ciencias Social, Psicometría, Medición Educacional",Másculino,Chile,Santiago,Chile,Universidad Católica de Lovaina,Pontificia Universidad Católica de Chile,,https://www.mat.uc.cl/personas/perfil/esanmart,,,,,,,,
Alejandra Andrea,Silva,Tapia,Doctora,En Estadística,"Modelos de regresión, análisis de sensibilidad, análisis de diagnóstico, bioestadística",Femenino,Chile,Santiago,Chile,Universidad de São Paulo,Pontificia Universidad Católica de Chile,https://investigadores.anid.cl/es/public_search/researcher?id=34840,https://www.mat.uc.cl/personas/perfil/alejandra.tapia,,,,,,,,
Felipe,Osorio,Salgado,Doctor,En Estadística,Probabilidad y Estadística,Másculino,Chile,Valparaíso,Chile,Universidad de São Paulo,Universidad Técnica Federico Santa María,http://fosorios.mat.utfsm.cl/,http://matematica.usm.cl/felipe-osorio/,,,,,,,,
Francisco,Cuevas,Pacheco,Doctor,En Estadística Espacial,Probabilidad y Estadística,Másculino,Chile,Valparaíso,Chile,Universidad de Aalborg,Universidad Técnica Federico Santa María,https://fcocuevas87.github.io/#resume,http://matematica.usm.cl/cuevas-francisco/,,,,,,,,
Ronny,Vallejos,Arriagada,Doctor,En Estadística,"Estadísticas espaciales, Modelado robusto, Modelado de imágenes estadísticas, Series de tiempo",Másculino,Chile,Valparaíso,Chile,Universidad de Maryland,Universidad Técnica Federico Santa María,http://rvallejos.mat.utfsm.cl/,http://matematica.usm.cl/ronny-vallejos/,,,,,,,,
Alfredo,Alegría,Jiménez,Doctor,En Matemáticas,"Familias paramétricas de núcleos de covarianza para modelar datos correlacionados con características complejas, Métodos de estimación de probabilidad compuesta en presencia de grandes conjuntos de datos, Campos aleatorios en esferas: estrategias de modelado y algoritmos de simulación rápida, Aplicación de la teoría de campos aleatorios en ciencias de la Tierra",Másculino,Chile,Valparaíso,Chile,Universidad Técnica Federico Santa María,Universidad Técnica Federico Santa María,https://sites.google.com/site/alfredoalegriajimenez/home?authuser=0,http://matematica.usm.cl/alfredo-alegria/,,,,,,,,
Natalia del Pilar,Henríquez,Cabezas,,,Modelamiento Estadístico,Femenino,Chile,Valparaíso,Chile,Pontificia Universidad Católica de Chile,Universidad de Chile,,https://www.uchile.cl/portafolio-academico/perfilAcademico.jsf?username=nhenriq,,,,,,,,
Adolfo Jose,Quiroz,Salazar,Doctor,En Matemáticas,Estadistica Multivariada no parametrica y reconocimiento de patrones,Másculino,Colombia,Bogotá,Colombia,Instituto de Tecnología de Massachusetts,Universidad de los Andes,https://academia.uniandes.edu.co/AcademyCv/aj.quiroz1079,https://matematicas.uniandes.edu.co/es/profesores/adolfo-jose-quiroz-salazar,,,,,,,,
Michael,Anton,Högele,Doctor,Rerum Naturalium,"Dinámica de ecuaciones estocásticas ordinarias, parciales y diferenciales de retardo con saltos, El primer problema de salida de conjuntos estables bajo pequeñas perturbaciones markovianas, Teoría ergódica de SDE impulsadas por Lévy, Estadísticas de difusiones de salto con colas pesadas, Principios de promedio para SDE en variedades foliadas.",Másculino,Alemania,Bogotá,Colombia,Humboldt-Universitat Zu Berlin,Universidad de los Andes,https://math.uniandes.edu.co/~ma.hoegele/,https://matematicas.uniandes.edu.co/es/profesores/michael-anton-hoegele,,,,,,,,
Mauricio Jose,Junca,Pelaez,Doctor,,Control óptimo estocástico con aplicaciones en finanzas y ciencias actuariales,Másculino,Colombia,Bogotá,Colombia,"Universidad de California, Berkeley",Universidad de los Andes,http://matematicas.uniandes.edu.co/~mjunca,https://matematicas.uniandes.edu.co/es/profesores/mauricio-jose-junca-pelaez,,,,,,,,
Hugo,Bravo,Azlan,Doctor,En Ciencias en Ingeniería de Sistemas y Computación,,Másculino,Chile,Arica,Chile,,Universidad de Tarapacá,,https://www.uta.cl/index.php/departamentos-facultad-de-ciencias/,,,,,,,,
Álvaro,Cortinez,Pontoni,Doctor,En Ciencias Matemáticas,,Másculino,Chile,Arica,Chile,,Universidad de Tarapacá,,https://www.uta.cl/index.php/departamentos-facultad-de-ciencias/,,,,,,,,
Ludy,Núñez,Soza,Maestra,En Matemática,,Femenino,Chile,Arica,Chile,,Universidad de Tarapacá,,https://www.uta.cl/index.php/departamentos-facultad-de-ciencias/,,,,,,,,
María Inés,Armendáriz,,Doctora,,Probabilidades,Femenino,Argentina,Buenos Aires,Argentina,Instituto Courant Universidad de Nueva York,Universidad de Buenos Aires,https://scholar.google.com/citations?user=Zqd5-8gAAAAJ&hl=es,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/armendariz-ines,,,,,,,,
Graciela,Boente,Boente,Doctora,,"Estadísticas robustas, y particularmente para métodos robustos para análisis de componentes principales y análisis de regresió",Femenino,Argentina,Buenos Aires,Argentina,Universidad de Buenos Aires,Universidad de Buenos Aires,,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/boente-boente-graciela,,,,,,,,
Pablo,Augusto,Ferrari,Doctor,En Estadística,"Probabilidad y procesos estocásticos, en particular en el proceso de exclusión simple, en redes con pérdida, teoría de colas, simulación perfecta, procesos espaciotemporales",Másculino,Argentina,Buenos Aires,Argentina,Universidad de São Paulo,Universidad de Buenos Aires,http://mate.dm.uba.ar/~pferrari/,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/ferrari-pablo,,,,,,,,
José Pablo,Groisman,,Doctor,En Matemáticas,Ecuaciones Diferenciales. Análisis Numérico. Probabilidad. Estadística,Másculino,Argentina,Buenos Aires,Argentina,Universidad de Buenos Aires,Universidad de Buenos Aires,http://mate.dm.uba.ar/~pgroisma/,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/groisman-pablo,,,,,,,,
Víctor,Yohai,,Doctor,En Estadística,Métodos Estadísticos Robustos,Másculino,Argentina,Buenos Aires,Argentina,"Universidad de California, Berkeley",Universidad de Buenos Aires,https://es.wikipedia.org/wiki/V%C3%ADctor_J._Yohai,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/yohai-victor,,,,,,,,
Silvia,Marina,Valdora,Doctora,En Matemáticas,Estadística robusta,Femenino,Argentina,Buenos Aires,Argentina,Universidad de Buenos Aires,Universidad de Buenos Aires,https://www.conicet.gov.ar/new_scp/detalle.php?id=62679&datos_academicos=yes,https://web.dm.uba.ar/index.php/institucional/integrantes/profesores/teacher/marina-valdora,,,,,,,,
Luis Gonzalo,Perera,Ferrer,Doctor,En Matemáticas,"Estadística no paramétrica, Procesos estadísticos, Estadística Clínica, Estadística Ambiental, Análisis estadístico de la performance de redes de datos, Telecomunicaciones.",Másculino,Uruguay,,Uruguay,Universidad de la República,Media Maren,https://es.wikipedia.org/wiki/Gonzalo_Perera,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Ángel,Segura,,Doctor,En Ecología,"Modelización cuantitativa de la dinámica del plancton, Mecanismos que estructuran las comunidades, Ecología metabólica a nivel comunitario, Pesquerías artesanales",Másculino,Uruguay,,Uruguay,Universidad de la República,Media Maren,,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Rodolfo,Vögler,,Doctor,En Ciencias Marinas,"Ecología marina, Modelización en Ecología de poblaciones, macroecología de comunidades y ecosistemas, Oceanografía pesquera.",Másculino,Uruguay,,Uruguay,Centro Interdisciplinario de Ciencias Marinas,Media Maren,https://asociacionoceanograficauruguaya.wordpress.com/inicio/rodolfo-vogler/,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Soledad,Marroni,,Maestra,En Biología,"Ecología Acuática, Biomanipulación, Bivavlos filtradores, Ecología de bivalvos",Femenino,Uruguay,,Uruguay,Universidad de la República,Media Maren,,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Flavio,Pazos,,Maestro,En Bioinformática,"Aprendizaje Automático aplicado a problemas biológios, Bioinformática.",Másculino,Uruguay,,Uruguay,Universidad de la República,Media Maren,https://scholar.google.com/citations?user=lrbaHKkAAAAJ&hl=es,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Martín,Sprechmann,,Maestro,En Economía y Gestión del Turismo Sustentable,Marketing y gestión de destinos. Comportamiento y experiencia del turista. Turismo sostenible. Metodologías estadísticas de investigación.,Másculino,Uruguay,,Uruguay,Universidad de la República,Media Maren,https://scholar.google.com/citations?user=rAPfeLAAAAAJ&hl=en,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Germán,Botto,,Licenciado,En Biología Humana,"Análisis espacial, Modelado de enfermedades infecciosas, Identificación acústica de Quirópteros.",Másculino,Uruguay,,Uruguay,Universidad de la República,Media Maren,https://www.germanbotto.com/,https://www.maren.cure.edu.uy/sobre-el-maren/,,,,,,,,
Carla ,Kruk,,Doctora,,"Ecología, Calidad del agua, Oceanografía, Biológica Ecología de agua dulce, Ecología Acuática Ciencia medioambiental, Estructura de la comunidad, Ecología del ecosistema, Ecología Marina, Ciencias Acuáticas",Femenino,Uruguay,,Uruguay,Universidad de la República,Media Maren,https://scholar.google.co.uk/citations?user=f5-o7RAAAAAJ&hl=en,https://udelar.academia.edu/CarlaKruk,,,,,,,,
Paola,Bermolen,,Doctora,En Informática y Redes,Modelado estocástico de sistemas de comunicación de gran dimensión,Femenino,Uruguay,Montevideo,Uruguay,Paris Telecom,Universidad de la República,,https://www.fing.edu.uy/es/node/41156,,,,,,,,
Lorena,Etcheverry,,,,"Bases de datos, web semántica, inteligencia de negocios",Femenino,Uruguay,Montevideo,Uruguay,,Universidad de la República,https://scholar.google.com/citations?user=3FQOBdsAAAAJ&hl=es,https://www.fing.edu.uy/es/node/40875,,,,,,,,
Juan,Piccini ,,Maestro,,Matemática Aplicada,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/es/node/41211,,,,,,,,
Federico,Dalmao,,Doctor,En Matemáticas,"Probabilidad, Procesos estocásticos",Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,http://dmel.multisitio.interior.edu.uy/federico-dalmao/,,,,,,,,,
Mario,Luzardo,Verde,,,"Psicometría, Estadística, Matemática",Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://psico.edu.uy/user/259,,,,,,,,
Josefina,Gonzalez,,,,,Femenino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/es/node/41181,,,,,,,,
Ana,Gonzalez,,Doctora,En Matemáticas,,Femenino,Uruguay,Montevideo,Uruguay,CINVESTAV,Universidad de la República,,https://www.fing.edu.uy/es/node/41180,,,,,,,,
Valeria,Goicoechea,,Doctora,En Matemáticas,Probabilidad y estadística. Modelado estocástico de redes de telecomunicaciones.,Femenino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,,https://www.fing.edu.uy/es/node/41179,,,,,,,,
Américo,Gaudio,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/es/node/41178,,,,,,,,
Jorge,Graneri,,Doctor,En Biología,"Probabilidad y Estadística, Ciencias Cognitivas",Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,https://www.researchgate.net/profile/Jorge-Graneri,https://www.fing.edu.uy/index.php/es/node/41182,,,,,,,,
Juan Antonio,Kalemkerian,Kazandjian,Doctor,En Matemáticas,Estadísitca Matemática,Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41190,,,,,,,,
Gustavo,Guerberoff,,Doctor,En Física,Procesos aleatorios - Dinámica Evolutiva sobre Grafos - Bioinformática,Másculino,Uruguay,Montevideo,Uruguay,Universidad Nacional de Córdoba,Universidad de la República,http://www.cmm.uchile.cl/?cmm_people=gustavo-guerberoff,https://www.fing.edu.uy/index.php/es/node/41186,,,,,,,,
Brian,Britos,Simmari,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41159,,,,,,,,
‪Maria Ines,Fariello,,Doctora,"En Ecología, biodiversidad y evolución",Probabilidad y Estadística aplicados a la genómica,Femenino,Uruguay,Montevideo,Uruguay,Universidad Paul Sabatier,Universidad de la República,https://scholar.google.com/citations?user=KxcCuJAAAAAJ&hl=en,https://www.fing.edu.uy/index.php/es/node/41172,,,,,,,,
Marcos,Barrios,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41153,,,,,,,,
Alejandro,Bellati,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41154,,,,,,,,
Gonzalo,Berger,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41155,,,,,,,,
María Paola,Bermolen,Romeo,Doctora,En Informática y Redes,Modelado estocástico de sistemas de comunicación de gran dimensión,Femenino,Uruguay,Montevideo,Uruguay,Télécom ParisTech,Universidad de la República,https://scholar.google.com.uy/citations?user=YFCFMf0AAAAJ&hl=es,https://www.fing.edu.uy/index.php/es/node/41156,,,,,,,,
Mathias Bourel,Bourel,,Doctor,En Matemáticas,"Estadística, Aprendizaje Automático",Másculino,Uruguay,Montevideo,Uruguay,Universidad Aix-Marseille,Universidad de la República,https://scholar.google.com.uy/citations?user=IR9N_3sAAAAJ&hl=es,https://www.fing.edu.uy/index.php/es/node/41158,,,,,,,,
Diego,Bravo,Guerrero,Doctor,En Matemáticas,"Ciencia de Datos, Machine Learnig",Másculino,Uruguay,Montevideo,Uruguay,Universidad de los Andes (VE),Universidad de la República,https://www.linkedin.com/in/diegobravoguerrero/?originalSubdomain=uy,https://www.fing.edu.uy/index.php/es/node/41158,,,,,,,,
Matias Carrasco,Carrasco,,Doctor,En Matemáticas,Geometría y Probabilidad,Másculino,Uruguay,Montevideo,Uruguay,Universidad de Aix-Marsella,Universidad de la República,https://sites.google.com/view/matias-carrasco/home,https://www.fing.edu.uy/index.php/es/node/41165,,,,,,,,
Marcelo,Cerminara,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41167,,,,,,,,
Felipe,Almeida,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41151,,,,,,,,
Martin,Kenny,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41191,,,,,,,,
Vittorio,Puricelli,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41216,,,,,,,,
Verónica,Rumbo,,Maestra,En Ingeniería Matemática,"Probabilidad y Estadística, Modelos matemáticos para música",Femenino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41221,,,,,,,,
Luis,Stábile,Suarez,Doctor,En Informática,,Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,https://lpe.edu.uy/integrantes/luis-stabile-suarez/,https://www.fing.edu.uy/index.php/es/node/41222,,,,,,,,
Manuel,Stolowicz,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41224,,,,,,,,
Raul,Fidel,Tempone,Doctor,En Análisis Numérico,"Análisis numérico, Monte Carlo multinivel, Ecuaciones diferenciales estocásticas, Cuantificación de incertidumbre, Números estocásticos",Másculino,Uruguay,Montevideo,Uruguay,Instituto Real de Tecnología,Universidad de la República,https://www.kaust.edu.sa/en/study/faculty/raul-tempone,https://www.fing.edu.uy/index.php/es/node/41225,,,,,,,,
Agustin,Tornaría,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41227,,,,,,,,
Juan,Piccini ,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41211,,,,,,,,
Pablo,Lessa,,Doctor,,"Matemáticas, Probabilidad, Geometría",Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,http://www.cmat.edu.uy/~lessa/index.html,https://www.fing.edu.uy/index.php/es/node/41196,,,,,,,,
José R.,León,,Doctor,En Ciencias,Probabilidad y Estadística,Másculino,Uruguay,Montevideo,Uruguay,Universidad Central de Venezuela,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41195,,,,,,,,
Joaquín,Lejtreger,Chebi,Maestro,En Matemáticas,Machine Learnig,Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Universidad de la República,https://www.researchgate.net/profile/Joaquin-Lejtreger,https://www.fing.edu.uy/index.php/es/node/41194,Joaquín Lejtreger,,,,,,,
Gerardo,Martínez,,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41204,,,,,,,,
Juan,Pablo,Martínez,,,,Másculino,Uruguay,Montevideo,Uruguay,,Universidad de la República,,https://www.fing.edu.uy/index.php/es/node/41202,,,,,,,,
Franco,Robledo,Amoza,Doctor,En Informática,,Másculino,Uruguay,Montevideo,Uruguay,Universidad de la República,Laboratorio de Probabilidad y Estadística - FING,,https://lpe.edu.uy/integrantes/franco-robleado-amoza/,,,,,,,,
Eduardo,Canale,,Doctor,,,Másculino,Uruguay,Montevideo,Uruguay,Universidad Politécnica de Catalunya,Laboratorio de Probabilidad y Estadística - FING,,https://lpe.edu.uy/integrantes/eduardo-canale/,,,,,,,,
