Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Martha Lorena,Zogaib,Achcar,Doctora,En Física,Estadística Aplicada a la Actuaría,Femenino,México,Ciudad de México,México,UNAM,ITAM,,https://mtia.itam.mx/es/facultad/25571-martha-lorena-zogaib-achcar,70,4,3,10,https://scholar.google.com/citations?hl=es&user=9HCEkbIAAAAJ,,,
Simon,Luna,Gomez,Doctor,En Estadística,"Modelos Gráficos, Redes Sociales, Modelado Bayesiano",Másculino,México,Ciudad de México,México,Universidad de Duke,ITAM,https://www.simonlunagomezc.com/about-me,,1012,8,7,35,https://scholar.google.com/citations?hl=es&user=QkbzPB4AAAAJ,,,
Levent,Ulku,,Doctor,En Economía,"Prinicipalmente econimia pero tiene pappers con la plabra estocastica: Complementariedad estocástica, modelo estocastico etc",Másculino,México,Ciudad de México,México,Universidad Rutgers,ITAM,,https://facultad.itam.mx/es/facultad/115396-levent-ulku,164,8,6,16,https://scholar.google.com/citations?hl=es&user=TQEbaZ4AAAAJ,,,
Arturo,Hernández,Aguirre,Doctor,En Ciencias de la Computación,"Cálculos evolutivos, optimización estocástica",Másculino,México,Guanajuato,México,Universidad de Tulane,CIMAT,,https://www.cimat.mx/~artha/,2895,27,69,100,https://scholar.google.com/citations?hl=es&user=82H7WGMAAAAJ,,,
José Andrés,Christen,Gracia,Doctor,En Estadística,"Estadística Bayesiana, estadística aplicada",Másculino,México,Ciudad de México,México,Universidad de Nottingham,CIMAT,https://www.cimat.mx/~jac/,https://www.cimat.mx/node/305,6261,28,46,100,https://scholar.google.com/citations?hl=es&user=N-0LU54AAAAJ,,,
Eloísa Díaz,Francés,Murguía,Doctora,En Ciencias con orientación en Estadística,Modelación estadística,Femenino,México,Guanajuato,México,CIMAT,CIMAT,,https://www.cimat.mx/node/299,234,7,,18,,https://www.researchgate.net/profile/Eloisa-Diaz-Frances,,
Carolina,Euán,Campos,Doctora,En Ciencias con Orientación en Probabilidad y Estadística,Modelos estadísticos en datos ambientales y en neurociencia,Femenino,México,Thuwal,Inglaterra,CIMAT,Universidad de Lancaster,https://cemse.kaust.edu.sa/people/person/carolina-d-euan-campos,https://www.cimat.mx/node/1517,105,6,4,15,https://scholar.google.com/citations?user=KTPsyJsAAAAJ&hl=en,,,
Emilien,Joly,,Doctor,En Estadística,,Másculino,México,Guanajuato,México,Universidad Paris Sud,CIMAT,https://www.researchgate.net/profile/Emilien_Joly,https://www.cimat.mx/es/emilien-joly,212,4,3,20,https://scholar.google.com/citations?user=KexRAgEAAAAJ&hl=es&oi=ao,,,
Leticia,Ramírez,Ramírez,Doctora,En Estadística,Estadística en problemas de medio ambiente y sociales,Femenino,México,Guanajuato,México,Universidad de Waterloo,CIMAT,http://leticiaramirez2.net/,https://www.cimat.mx/investigadores_probabilidad_y_estadistica/leticia-ramirez,274,8,8,25,https://scholar.google.com/citations?hl=es&user=l6VjyscAAAAJ,,,
Miguel,Nakamura,Savoy,Doctor,En Estadística,Modelos estocásticos y estadísticos para el análisis de la biodiversidad,Másculino,México,Guanajuato,México,Universidad de Carolina del Norte,CIMAT,,https://www.cimat.mx/node/307,16408,15,18,24,https://scholar.google.com/citations?hl=es&user=4C_ezisAAAAJ,,,
Rogelio,Ramos,Quiroga,Doctor,En Estadística,"Diseño de Experimentos, Estadística Espacial, Aprendizaje Estadístico, Inferencia Estadística en Análisis Multivariado",Másculino,México,Guanajuato,México,Universidad de Carolina del Norte,CIMAT,,https://www.cimat.mx/node/308,136,5,,13,,https://www.researchgate.net/profile/Rogelio-Ramos-Quiroga,,
Enrique Raúl,Villa,Diharce,Doctor,En Ciencias,"Optimización en confiabilidad, riesgos en competencia en la modelación, análisis de datos de confiabilidad",Másculino,México,Guanajuato,México,CIMAT,CIMAT,https://www.researchgate.net/profile/Enrique-Villa-Diharce,https://www.cimat.mx/node/300,527,12,12,45,https://scholar.google.com/citations?hl=es&user=thhre10AAAAJ,,,
Octavio,Arizmendi,Echegaray,Doctor,En Matemáticas,"Teoremas de límite, matrices aleatorias, divisibilidad infinita, Combinatoria",Másculino,México,Guanajuato,México,Universidad de Saarlands,CIMAT,https://www.smm.org.mx/resumen_semblanza.php?t=sem&id=3582,http://personal.cimat.mx:8181/~octavius/,480,14,18,56,https://scholar.google.com/citations?user=GN-YW0EAAAAJ&hl=es&oi=ao,,,
James,Melbourne,,Doctor,En Matemáticas,"Probabilidad de alta dimensión, convexidad, desigualdades geométricas y teóricas de la información, algoritmos de consenso, biología a nanoescala, termodinámica de la información",Másculino,México,Guanajuato,México,Universidad de Minnesota,CIMAT,,https://www.cimat.mx/node/1548,334,10,10,47,https://scholar.google.com/citations?user=KXl6kU8AAAAJ&hl=en,,,
Daniel,Hernández,Hernández,Doctor,En Ciencias,Control óptimo de sistemas estocásticos,Másculino,México,Guanajuato,México,CINVESTAV,CIMAT,,https://www.cimat.mx/node/297,1373,19,28,76,https://scholar.google.com/citations?hl=es&user=6TlhuIwAAAAJ,,,
Arturo,Jaramillo,Gil,Doctor,En artes con especialidad de Matemáticas,"Procesos gaussianos, movimiento browniano fraccionario, tiempos locales, Método de Stein, teoremas límite, matrices aleatorias, teoría de números probabilista",Másculino,México,Guanajuato,México,Universidad de Kansas,CIMAT,,https://www.cimat.mx/node/1549,60,6,3,14,https://scholar.google.com/citations?hl=es&user=GJwzmioAAAAJ,,,
José Alfredo,López,Mimbela,Doctor,En Matemáticas,Dinámica de poblaciones aleatorias ramificadas,Másculino,México,Guanajuato,México,CINVESTAV,CIMAT,,https://www.cimat.mx/node/304,483,12,17,63,https://scholar.google.com/citations?hl=es&user=hBb4O8oAAAAJ,,,
Juan Carlos,Pardo,Millán,Doctor,En Matemáticas,"Descomposición trayectorial de procesos de Markov, procesos de Lévy y caminatas aleatorias, procesos de Markov auto similares y procesos aditivos auto similares, procesos de ramificación, fragmentación y árboles aleatorios, problemas de paro óptimo y juegos estocásticos, análisis estocástico.",Másculino,México,Guanajuato,México,Universidad de París VI,CIMAT,,https://www.cimat.mx/node/306,1304,21,31,83,https://scholar.google.com/citations?hl=es&user=8hSAC4oAAAAJ,,,
José Luis Ángel,Pérez,Garmendia,Doctor,En Matemáticas,"Descomposición trayectorial de superprocesos, procesos de Lévy y caminatas aleatorias, procesos de ramificación, fragmentación, problemas de control óptimo, análisis estocástico, matrices aleatorias",Másculino,México,Guanajuato,México,UNAM,CIMAT,,https://www.cimat.mx/node/1153,733,17,23,66,https://scholar.google.com/citations?user=Gswci2IAAAAJ&hl=es&oi=sra,,,
Víctor Manuel,Rivero,Mercado,Doctor,En Matemáticas,"Procesos de Lévy y Caminatas Aleatorias, Procesos de Markov auto-similares, Procesos de Markov, Conjuntos Regenerativos, Teoremas Limites",Másculino,México,Guanajuato,México,Universidad Paris VI Pierre et Marie Curie,CIMAT,,https://www.cimat.mx/node/310,1099,17,26,64,https://scholar.google.com/citations?hl=es&user=HsPYpB4AAAAJ,,,
Ekaterina,Todorova,Kolkovska,Doctora,En Matemáticas,"ecuaciones diferenciales parciales estocásticas, sistemas de ecuaciones parciales estocásticas fuertemente acoplados",Femenino,México,Guanajuato,México,CINVESTAV,CIMAT,https://www.researchgate.net/profile/Ekaterina-Kolkovska,https://www.cimat.mx/node/298,81,5,,30,,https://www.researchgate.net/profile/Ekaterina-Kolkovska,,
Víctor Manuel Pérez,Abreu,Carrión,Doctor,En Estadística,"Procesos de Levy, distribuciones infinitamente divisibles en espacios y conos de dimensión infinita",Másculino,México,Guanajuato,México,Universidad de Carolina del Norte,CIMAT,https://www.inegi.org.mx/contenidos/eventos/2013/fne/S_Victor_Perez_Abreu.pdf,https://www.cimat.mx/~pabreu/,1164,20,36,80,https://scholar.google.com/citations?hl=es&user=lk7uO7QAAAAJ,,,
Antonio,Murillo,Salas,,,Probabilidad,Másculino,México,Guanajuato,México,,CIMAT,,https://scholar.google.com.mx/citations?user=TyI2bswAAAAJ&hl=en,110,4,2,24,https://scholar.google.com.mx/citations?user=TyI2bswAAAAJ&hl=en,,,
Leonel Ramón,Pérez,Hernández,,,Probabilidad,Másculino,México,Guanajuato,México,,CIMAT,,https://ideas.repec.org/e/ppr156.html,2,,,3,,https://www.researchgate.net/scientific-contributions/Leonel-Perez-Hernandez-75832837,,
Erick,Treviño,Aguilar,Doctor,En Matemáticas,Probabilidad,Másculino,México,Guanajuato,México,,CIMAT,,https://ideas.repec.org/e/ptr164.html,,,,,,,https://orcid.org/0000-0002-2543-8469,
Johan,Van,Horebeek,,,"Reconocimiento estadístico de patrones; aprendizaje estadístico, Análisis de datos multidimensionales; análisis de datos discretos; Sistemas expertos probabilísticos; modelos gráficos",Másculino,México,Guanajuato,México,,CIMAT,,https://www.cimat.mx/~horebeek/#sthash.xoNy5unC.dpuf,,,,,,,https://orcid.org/0000-0003-4143-0376,
José Ulises,Márquez,Urbina,Doctor,En Matemáticas,"Modelación estocástica, Procesos estocásticos",Másculino,México,Monterrey,México,Universidad de Aarhus,CIMAT,,http://cdmx.geoint.mx/site/integrante/id/72.html,,,,1,,https://www.researchgate.net/scientific-contributions/Jose-Ulises-Marquez-Urbina-2212233746,,
Edgar,Jiménez,Peña,Doctor,En Ciencias con Orientación en Matemáticas,"Estadística multivariada, Optimización de procesos, Estadística industrial",Másculino,México,Monterrey,México,Universidad Autónoma Nuevo León,CIMAT,,http://www.fcfm.uanl.mx/es/Posgrado/Doctorado/DCOM/egresados/DCOM007,8,1,0,2,https://scholar.google.com/citations?hl=es&user=JD33AKkAAAAJ,,,
Rodrigo,Macías,Paez,Doctor,En Ciencias en el área de Estadística,"Modelos de Escalamiento Multidimensional, Clustering y Clasificación",Másculino,México,Monterrey,México,Universidad de Granada,CIMAT,,,69,4,,7,,https://www.researchgate.net/profile/Rodrigo-Macias,,
Víctor,Muñiz,Sánchez,Doctor,En Ciencias,Estadística espacial,Másculino,México,Monterrey,México,CIMAT,CIMAT,,http://geoint.mx/site/integrante/id/77.html,38,4,2,14,https://scholar.google.com/citations?user=CXfTFY8AAAAJ&hl=es&oi=ao,,,
José Benito,Hernández,Chaudary,Doctor,En Ciencias,"Estadística, Series de tiempo",Másculino,México,Monterrey,México,Universidad Central de Venezuela,CIMAT,https://www.researchgate.net/profile/Jose-Hernandez-Chaudary,,24,3,,8,,https://www.researchgate.net/profile/Jose-Hernandez-Chaudary,,
José Ramón,Domínguez,Molina,Maestro,En Estadística,"Logística y control estadístico, Pronóstico multivariado y series de tiempo, Estadística Industrial",Másculino,México,Monterrey,México,Universidad de Guanajuato,CIMAT,https://www.researchgate.net/profile/Jose-Dominguez-Molina,,55,2,,2,,https://www.researchgate.net/profile/Jose-Dominguez-Molina,,
Antonio,Costilla,Esquivel,Maestro,En Estadística,Bioestadística,Másculino,México,Monterrey,México,ITESM,CIMAT,,,22,2,1,6,https://scholar.google.com/citations?hl=es&user=OIzi4QQAAAAJ,,,
Héctor Eduardo,Hernández,González,Maestro,En admón. de Empresas,Visualización de análisis estadístico,Másculino,México,Monterrey,México,Universidad Autónoma de Nuevo León,CIMAT,,,,,,1,,,https://www.researchgate.net/scientific-contributions/Hector-Eduardo-Hernandez-Gonzalez-2094135438,
Graciela Ma. De los dolores,González,Farías,Doctor,En Estadística,Análisis Multivariado,Femenino,México,Monterrey,México,Universidad Estatal de Carolina del Norte,CIMAT,,https://mce.cimat.mx/es/nucleo-academico-mce,1405,14,22,63,https://scholar.google.com/citations?hl=es&user=2T-CGvMAAAAJ,,,
José Elías,Rodríguez,Muñoz,Doctor,En Ciencias,Estadística,Másculino,México,Monterrey,México,CIMAT,CIMAT,https://www.researchgate.net/profile/Jose-Rodriguez-Munoz-2,https://xdoc.mx/preview/jose-elias-rodriguez-muoz-el-dr-jose-elias-rodriguez-607276a58d74b,24,3,1,12,https://scholar.google.com/citations?hl=es&user=d3EM-WwAAAAJ,,,
